track_id,track_name,artist_id,artist_names,album_id,album_name,album_artist_id,album_artist_names,album_release_date,album_image_url,disc_number,track_number,track_duration_ms,explicit,popularity,isrc,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,pop,rock,hip_hop,electronic,rnb_soul,folk,country,ska,dance_disco,indie_alt,retro_vintage,novelty,easy_listening,cultural,jazz,genre_count
0V6imIPZVXJEtl2umdNILO,Everything (feat. John Legend),"7HkdQ0gt53LP4zmHsL0nap, 5y2Xq6xcjJb2jVM54GHK3t","Ella Mai, John Legend",67ErXRS9s9pVG8JmFbrdJ0,Ella Mai,7HkdQ0gt53LP4zmHsL0nap,Ella Mai,12/10/2018,https://i.scdn.co/image/ab67616d0000b2737ce0faf0620ab9c1779e1fbf,1,9,181644,False,56.0,USUM71813375,0.395,0.456,7.0,-5.358,1.0,0.0456,0.432,0.0,0.108,0.0608,103.85,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
4hbRj5tucVkLUVoAdJUyRi,One Step At a Time,2AQjGvtT0pFYfxR3neFcvz,Jordin Sparks,6uADeQqYkdZqctA1AO6riB,Jordin Sparks,2AQjGvtT0pFYfxR3neFcvz,Jordin Sparks,20/11/2007,https://i.scdn.co/image/ab67616d0000b273541387af4fde7d5b5def61ab,1,2,205160,False,0.0,GBCTA0700276,0.766,0.692,1.0,-4.672,1.0,0.0289,0.0825,0.0,0.0384,0.691,102.028,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2BDOK3tPbmgeINQqbkDaj6,If You Wanna Stay,3nUbzTTtP2w4HqvT5y5vkV,The Griswolds,1wcZp8XRjXh2IFLzIXmNTm,Be Impressive with Track by Track Commentary,3nUbzTTtP2w4HqvT5y5vkV,The Griswolds,22/08/2014,https://i.scdn.co/image/ab67616d0000b273692d0842637442fc2e7c25e4,1,14,159847,False,21.0,AU5S41400004,0.545,0.933,5.0,-4.91,1.0,0.0378,0.000515,0.000451,0.109,0.23,116.51,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
5lXcSvHRVjQJ3LB2rLKQog,Superstition - Single Version,7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,0g6DaZtBNmIAiTJGW4n4SR,Song Review: A Greatest Hits Collection,7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,01/01/1996,https://i.scdn.co/image/ab67616d0000b27330a819a5c5c1d33584957d95,1,3,239120,False,0.0,USMO10000310,0.65,0.658,10.0,-10.908,0.0,0.085,0.0887,0.00403,0.0526,0.883,100.541,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1LOlli0YkvRs1vJLSnWARs,Another Life,3KCX3JQgSE4P3iJGh9iCTP,The Collective,7yJl0qpHyWG64Jm50n04wp,Another Life,3KCX3JQgSE4P3iJGh9iCTP,The Collective,28/06/2013,https://i.scdn.co/image/ab67616d0000b273d701e2bd5d11cb82213935cf,1,1,230973,False,21.0,AUBM01300302,0.582,0.747,0.0,-4.332,1.0,0.0378,0.0368,0.0,0.0818,0.544,143.073,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
335dNkjlQKrFtT5t9Oo2Hy,Don't Believe In Love,6VxCmtR7S3yz4vnzsJqhSV,Sheppard,317X7pnw9z4je8kRJ293uZ,Don't Believe In Love,6VxCmtR7S3yz4vnzsJqhSV,Sheppard,28/02/2020,https://i.scdn.co/image/ab67616d0000b2736bf855c37368c51604cc215b,1,1,203656,False,10.0,AUIYA2000002,0.585,0.612,5.0,-4.721,0.0,0.0789,0.247,1.46e-05,0.0474,0.767,204.107,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
4joiWvli4qJVEW6qZV2i2J,All My Loving - Remastered 2009,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1aYdiJk6XKeHWGO3FzHHTr,With The Beatles (Remastered),3WrFJ7ztbogyGnTHbHJFl2,The Beatles,22/11/1963,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73,1,3,127853,False,71.0,GBAYE0601426,0.416,0.563,1.0,-8.724,0.0,0.0298,0.207,0.0,0.343,0.9,77.56,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1yXf4r6w9g2ZyZnZmtxePP,Throw Your Hands Up (Dancar Kuduro),"4vD6SOCmjO6xkPIzjRrQhK, 0TnOYISbd1XYRBk9myaseg, 5bv5RplEOwdCvhq0EILh9E","Qwote, Pitbull, Lucenzo",0zUgDnVe4lIPrl4rXH3brU,Throw Your Hands Up (Dancar Kuduro),4vD6SOCmjO6xkPIzjRrQhK,Qwote,01/01/2011,https://i.scdn.co/image/ab67616d0000b27396b2c174155f795c5bf70317,1,1,209908,False,7.0,USUS11100331,0.603,0.932,0.0,-4.912,1.0,0.313,0.161,0.0,0.402,0.741,129.984,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
3wfujdbamR3Z46F4xav7LM,Drive,6DCIj8jNaNpBz8e5oKFPtp,The Cars,5ycnwHGkzOlTuMOI3Zh4iO,Heartbeat City,6DCIj8jNaNpBz8e5oKFPtp,The Cars,13/03/1984,https://i.scdn.co/image/ab67616d0000b273473881855ae3ceadb949a625,1,4,234493,False,69.0,USEE10170491,0.582,0.606,6.0,-9.961,1.0,0.0289,0.124,0.00139,0.151,0.504,111.441,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1wyNvV8uXr35T8ChEypf8n,Un-Break My Heart,3X458ddYA2YcVWuVIGGOYe,Toni Braxton,44YkbOX8QxlFuBtYec4hPG,The Essential Toni Braxton,3X458ddYA2YcVWuVIGGOYe,Toni Braxton,12/02/2007,https://i.scdn.co/image/ab67616d0000b2736504c9968a1af4d9dffdfac1,1,12,270773,False,0.0,USLF29600015,0.61,0.41,11.0,-9.215,0.0,0.0317,0.442,0.0,0.113,0.116,109.962,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
5zTzDqrEmseqL2G8ElgBu7,What the Hell,0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,3SUtKkjatUCubbgOC8OP4o,Goodbye Lullaby,0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,04/03/2011,https://i.scdn.co/image/ab67616d0000b273b2793497cae6a68681954e70,1,2,220626,False,1.0,USRC11000915,0.571,0.932,6.0,-3.68,0.0,0.0576,0.00448,0.00939,0.117,0.864,150.014,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
3sa06xVNmLLYIxdNNmVQN8,Where Did You Go? (feat. MNEK),"4Q6nIcaBED8qUel8bBx6Cr, 7uMh23xWiuR7zsNkuNcm2G","Jax Jones, MNEK",5vSLX6JljaSXuRY2Wqi6xL,Where Did You Go (feat. MNEK),"4Q6nIcaBED8qUel8bBx6Cr, 7uMh23xWiuR7zsNkuNcm2G","Jax Jones, MNEK",04/02/2022,https://i.scdn.co/image/ab67616d0000b273490a887b85a95378ea66b41d,1,1,177689,False,75.0,GBUM72108841,0.763,0.782,7.0,-4.541,0.0,0.0346,0.182,7.08e-06,0.293,0.502,127.034,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
7lL2lMWNtzOcf5HnEudNgn,Everyday People,5m8H6zSadhu1j9Yi04VLqD,Sly & The Family Stone,4he7R24eqd1EbF9kegiAK8,R&B: From Doo-Wop To Hip-Hop,0LyfQWJT6nXafLPZqxe9Of,Various Artists,08/10/1999,https://i.scdn.co/image/ab67616d0000b273980caf4dd525a15f08f8cb87,1,9,139506,False,56.0,USSM19900487,0.813,0.619,7.0,-8.203,1.0,0.0294,0.245,0.0151,0.113,0.774,114.58,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
6IIjmqaDdO6vdEBasXsCve,Sweet Disposition,4W48hZAnAHVOC2c8WH8pcq,The Temper Trap,0LiajiUXzLDuQ21geqi4v4,Sweet Disposition,4W48hZAnAHVOC2c8WH8pcq,The Temper Trap,02/08/2009,https://i.scdn.co/image/ab67616d0000b2739d20b50e52fc0972dafdc39e,1,1,234680,False,1.0,GBZUZ0900013,0.531,0.805,2.0,-7.127,1.0,0.0433,0.0783,0.0926,0.116,0.349,129.107,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
6EpRaXYhGOB3fj4V2uDkMJ,Strip That Down,"5pUo3fmmHT8bhCyHE52hA6, 0VRj0yCOv2FXJNP47XQnx5","Liam Payne, Quavo",2mnDyPSNM02LMvniaMWnLl,Strip That Down,5pUo3fmmHT8bhCyHE52hA6,Liam Payne,18/05/2017,https://i.scdn.co/image/ab67616d0000b273ec1abb2ba5e210e826161111,1,1,204502,False,1.0,GBUM71701628,0.869,0.485,6.0,-5.595,1.0,0.0545,0.246,0.0,0.0765,0.527,106.028,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
